<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,20200306,000000,281.236,281.521,270.167,279.9,381219.6947530153,0
CDR,D,20200309,000000,253.933,271.12,247.725,257.753,739752.1895079309,0
CDR,D,20200310,000000,262.526,267.299,255.848,258.038,475957.74389683583,0
CDR,D,20200311,000000,258.705,259.373,231.019,239.612,835098.0951457355,0
CDR,D,20200312,000000,217.662,224.34,195.888,206.299,1396589.4950447343,0
CDR,D,20200313,000000,219.567,241.528,213.644,232.836,1295176.2245030345,0
CDR,D,20200316,000000,225.204,259.658,211.926,240.566,1028845.4798525966,0
CDR,D,20200317,000000,250.111,260.424,243.62,256.417,901926.6730056655,0
CDR,D,20200318,000000,257.272,268.448,243.718,246.586,749089.964895353,0
CDR,D,20200319,000000,246.586,261.092,244.867,261.092,536277.0645272615,0
CDR,D,20200320,000000,268.252,270.452,244.769,254.414,979069.4657466948,0
CDR,D,20200323,000000,245.437,259.658,238.66,253.167,459874.4923408803,0
CDR,D,20200324,000000,264.53,267.869,256.132,264.058,454368.1474171798,0
CDR,D,20200325,000000,271.12,274.645,259.658,265.011,401112.99488597916,0
CDR,D,20200326,000000,263.39,269.018,261.092,268.35,308827.753604799,0
CDR,D,20200327,000000,269.686,270.923,262.143,266.347,297529.97193443804,0
CDR,D,20200330,000000,267.299,268.164,260.807,268.164,292278.17328125855,0
CDR,D,20200331,000000,270.167,276.748,268.448,275.991,371969.4832826486,0
CDR,D,20200401,000000,270.638,274.842,266.347,269.303,281258.3561383033,0
CDR,D,20200402,000000,269.303,274.743,263.959,274.743,303187.00825027365,0
CDR,D,20200403,000000,275.892,284.29,272.17,283.524,433766.19046711805,0
CDR,D,20200406,000000,291.165,304.248,290.498,303.766,417973.1216595358,0
CDR,D,20200407,000000,314.079,316.564,288.966,288.966,593691.503118611,0
CDR,D,20200408,000000,281.619,297.657,279.714,294.887,318210.3291358294,0
CDR,D,20200409,000000,315.984,318.754,305.2,314.079,721154.0207993155,0
CDR,D,20200414,000000,315.984,327.249,309.875,326.483,433802.8451300712,0
CDR,D,20200415,000000,328.114,329.253,322.957,326.68,598901.5561834343,0
CDR,D,20200416,000000,327.249,328.968,317.604,319.038,436277.0348794351,0
CDR,D,20200417,000000,322.957,328.585,321.709,324.096,244132.27349174727,0
CDR,D,20200420,000000,323.625,330.304,319.804,329.538,234700.82507677597,0
CDR,D,20200421,000000,327.063,328.585,320.757,320.757,196325.4293345603,0
CDR,D,20200422,000000,320.757,331.256,318.852,331.256,272003.05374252336,0
CDR,D,20200423,000000,327.446,338.613,326.483,338.613,318246.9837987825,0
CDR,D,20200424,000000,335.656,356.468,328.398,346.921,467295.0252188105,0
CDR,D,20200427,000000,350.831,357.037,349.494,351.312,343581.4650101855,0
CDR,D,20200428,000000,351.597,355.505,342.05,342.816,344437.75866418675,0
CDR,D,20200429,000000,342.816,348.541,337.374,344.819,268717.37048277666,0
CDR,D,20200430,000000,346.243,350.831,335.459,341.382,341534.912995282,0
CDR,D,20200504,000000,335.076,348.443,332.788,341.667,257640.5349752153,0
CDR,D,20200505,000000,343.955,344.623,335.273,341.284,215309.4901892594,0
CDR,D,20200506,000000,345.104,347.108,340.135,343.67,453402.90795940976,0
CDR,D,20200507,000000,343.67,346.725,338.042,339.467,206724.1535774629,0
CDR,D,20200508,000000,342.904,343.386,336.51,338.799,201242.24509574802,0
CDR,D,20200511,000000,341.765,347.108,338.042,346.538,248584.79685552153,0
CDR,D,20200512,000000,344.436,358.854,344.152,355.888,442096.9808083937,0
CDR,D,20200513,000000,354.17,362.38,353.6,362.281,289022.0173888804,0
